design_id,paper_id,task_family,task_name,label_semantics,class_cardinality,class_type,dataset_ids,scheme_ids,training_description,validation_description,test_description,split_design_primary,split_design_secondary,split_unit,split_grouping,eligibility_status,exclusion_reason,evidence_ids
DES0124,P18011,semantic_inference,Automated-to-human app transfer,target app versus other apps,2,binary,DS-P18011-HUMAN100 | DS-P18011-MONKEY500,SCH0214 | SCH0217,Monkey-generated instances train models for apps shared by both corpora.,,All five human-generated target instances and forty human-generated negative apps form the test data.,automated tool to human operator transfer,,app traffic instance,data-generation source grouped before split,eligible,,EVD1780
DES0125,P18011,semantic_inference,Open-world app recognition,target app versus other apps,2,binary,DS-P18011-MONKEY500,SCH0217,Forty instances of the target app and forty negative apps train each model.,,The target app and forty unseen negative apps form the open-world test stream.,held-out negative app identities,,app traffic instance,negative app identity grouped before test assembly,eligible,,EVD1789
DES0126,P18011,semantic_inference,App-multiplexing robustness,target app versus other apps,2,binary,DS-P18011-MONKEY500,SCH0217,The ordinary Monkey500 models are retained.,,Traffic instances from unseen apps are superimposed on the test stream at varied noise ratios.,synthetic multiplexing robustness,,app traffic instance,test streams are synthetically superimposed,eligible,,EVD1788
DES0127,P18222,security_state_classification,Enterprise encrypted malicious-flow detection,benign versus malicious encrypted traffic,2,binary,DS-P18222-ENTERPRISE-2017-2021,SCH0218,Enterprise traffic collected in 2017 trains the RAPIER detector.,,Traffic collected after 2017 through February 2021 is tested.,calendar-period holdout,,encrypted flow,collection year determines the split,eligible,,EVD1791
DES0128,P18385,security_state_classification,Baseline cryptomining detection,benign versus cryptomining traffic,2,binary,DS-P18385-IOT-LIGHT | DS-P39009-CJ-SNIFFER-CRYPTOMINING-2022,SCH0220 | SCH0221,Normal mining and benign traffic are randomly divided at a four-to-one ratio.,,The held-out random subset is tested.,pooled random split,,flow window,samples pooled before random split,eligible,,EVD1793 | EVD1798
DES0129,P18385,security_state_classification,Enhanced cryptomining baseline,benign versus cryptomining traffic,2,binary,DS-P18385-IOT-LIGHT | DS-P18385-MINESHARK-2023,SCH0221 | SCH0222,Obfuscated mining and sampled gateway benign traffic are added before a four-to-one split.,,The random held-out portion is tested.,pooled random split,,flow window,samples pooled before random split,eligible,,EVD1798
DES0130,P18385,security_state_classification,Obfuscated-mining transfer,benign versus cryptomining traffic,2,binary,DS-P18385-IOT-LIGHT | DS-P18385-MINESHARK-2023,SCH0221 | SCH0222,The baseline model trains without obfuscated mining.,,Obfuscated mining is added only to the test set alongside baseline benign traffic.,class-confounded obfuscation transfer,,flow window,mining condition changes while benign condition is retained,eligible,,EVD1798
DES0131,P18385,security_state_classification,Perturbed-mining transfer,benign versus cryptomining traffic,2,binary,DS-P18385-MINESHARK-2023,SCH0222,The enhanced model trains without perturbed mining.,,Perturbed mining is added only to the test set alongside enhanced benign traffic.,class-confounded perturbation transfer,,flow window,mining condition changes while benign condition is retained,eligible,,EVD1798
DES0132,P18385,security_state_classification,Sequential deployment update,benign versus cryptomining traffic,2,binary,DS-P18385-MINESHARK-2023,SCH0222,"Five detected-time parts are added sequentially, with fifty thousand samples from each part divided four to one between train and test.",,All five part-specific test sets are integrated with the unchanged enhanced test set.,time-ordered updates with within-period random splits,,flow window,time orders updates but each period is split at sample level,eligible,,EVD1800
DES0133,P26148,security_state_classification,AnoShift continual intrusion detection,benign versus attack,2,binary,DS-ANOSHIFT,SCH0223,The paper creates a sequence of binary tasks and assigns 75 percent of each benchmark to training.,,Twenty-three percent is tested and two percent validates continual models.,pooled benchmark split before continual task evaluation,,network flow record,samples are split within the benchmark rather than by audited condition,eligible,,EVD1813 | EVD1812
DES0134,P26148,security_state_classification,CIC-IDS2017 continual intrusion detection,benign versus attack,2,binary,DS-CIC-IDS-2017,SCH0224,The paper creates a sequence of binary tasks and assigns 75 percent of each benchmark to training.,,Twenty-three percent is tested and two percent validates continual models.,pooled benchmark split before continual task evaluation,,network flow record,samples are split within the benchmark rather than by audited condition,eligible,,EVD1813 | EVD1812
DES0135,P26148,security_state_classification,CSE-CIC-IDS2018 continual intrusion detection,benign versus attack,2,binary,DS-CSE-CIC-IDS-2018,SCH0225,The paper creates a sequence of binary tasks and assigns 75 percent of each benchmark to training.,,Twenty-three percent is tested and two percent validates continual models.,pooled benchmark split before continual task evaluation,,network flow record,samples are split within the benchmark rather than by audited condition,eligible,,EVD1813 | EVD1812
DES0136,P26148,security_state_classification,CTU-13 continual intrusion detection,benign versus attack,2,binary,DS-CTU-13,SCH0226,The paper creates a sequence of binary tasks and assigns 75 percent of each benchmark to training.,,Twenty-three percent is tested and two percent validates continual models.,pooled benchmark split before continual task evaluation,,network flow record,samples are split within the benchmark rather than by audited condition,eligible,,EVD1813 | EVD1812
DES0137,P26148,security_state_classification,KDD Cup 1999 continual intrusion detection,benign versus attack,2,binary,DS-KDDCUP-99,SCH0227,The paper creates a sequence of binary tasks and assigns 75 percent of each benchmark to training.,,Twenty-three percent is tested and two percent validates continual models.,pooled benchmark split before continual task evaluation,,network flow record,samples are split within the benchmark rather than by audited condition,eligible,,EVD1813 | EVD1812
DES0138,P26148,security_state_classification,NSL-KDD continual intrusion detection,benign versus attack,2,binary,DS-KDDCUP-99,SCH0228,The paper creates a sequence of binary tasks and assigns 75 percent of each benchmark to training.,,Twenty-three percent is tested and two percent validates continual models.,pooled benchmark split before continual task evaluation,,network flow record,samples are split within the benchmark rather than by audited condition,eligible,,EVD1813 | EVD1812
DES0139,P26148,security_state_classification,UNSW-NB15 continual intrusion detection,benign versus attack,2,binary,DS-UNSW-NB15,SCH0229,The paper creates a sequence of binary tasks and assigns 75 percent of each benchmark to training.,,Twenty-three percent is tested and two percent validates continual models.,pooled benchmark split before continual task evaluation,,network flow record,samples are split within the benchmark rather than by audited condition,eligible,,EVD1813 | EVD1812
DES0140,P39403,security_state_classification,Cross-IXP geographic transfer,benign versus blackholing or DDoS traffic,2,binary,DS-P39403-IXP-BLACKHOLE-2019-2021,SCH0250,A model is trained on one IXP or on the combined source IXPs.,,A different IXP location is tested.,held-out IXP location,,aggregated target record,IXP identity determines the split,eligible,,EVD1826
DES0141,P39403,security_state_classification,One-shot temporal IXP transfer,benign versus blackholing or DDoS traffic,2,binary,DS-P39403-IXP-BLACKHOLE-2019-2021,SCH0250,"The first day, week, or month trains a model.",,Every remaining day is tested without retraining.,initial-period temporal holdout,,aggregated target record,calendar interval determines the split,eligible,,EVD1826
DES0142,P39403,security_state_classification,Pooled IXP DDoS detection,benign versus blackholing or DDoS traffic,2,binary,DS-P39403-IXP-BLACKHOLE-2019-2021,SCH0250,Flows from all IXPs are merged and two thirds train the model.,,The remaining one third is tested.,pooled random split,,aggregated target record,IXPs and dates pooled before split,eligible,,EVD1829
DES0143,P39403,security_state_classification,Sliding temporal IXP transfer,benign versus blackholing or DDoS traffic,2,binary,DS-P39403-IXP-BLACKHOLE-2019-2021,SCH0250,"A past day, week, or month trains each daily model.",,The immediately following day is tested.,past-window temporal holdout,,aggregated target record,calendar interval determines the split,eligible,,EVD1826
DES0144,P40572,security_state_classification,Within-month advanced-bot detection,benign versus advanced bot IP-sequence,2,binary,DS-P40572-RADWARE-BOT-2018-2019,SCH0268,The first two weeks of August 2018 train site-specific models.,,The later two weeks are tested.,within-month temporal holdout,,IP request sequence,time precedes any sample selection,eligible,,EVD1833
DES0145,P40572,security_state_classification,Long-term advanced-bot transfer,benign versus advanced bot IP-sequence,2,binary,DS-P40572-RADWARE-BOT-2018-2019,SCH0268,One percent of the first two August weeks trains each site model.,,The later August weeks and full January and September collections are tested.,fixed historical model to future months,,IP request sequence,calendar month determines the split,eligible,,EVD1838
DES0146,P40572,security_state_classification,Monthly advanced-bot retraining,benign versus advanced bot IP-sequence,2,binary,DS-P40572-RADWARE-BOT-2018-2019,SCH0268,The first one percent of each new month is added to prior training data.,,The remaining current-month sequences are tested.,early-month to later-month holdout,,IP request sequence,within-month order determines the split,eligible,,EVD1838
DES0147,P41311,security_state_classification,Unseen Booters source transfer,benign prefix versus attack-source prefix,2,binary,DS-BOOTERS-2015 | DS-CIC-DDOS-2019 | DS-MAWI | DS-SUCURI-SSDP-2014,SCH0269 | SCH0270 | SCH0271 | SCH0272,Mirai-derived source scenarios train the model.,,Independent scenarios using Booters source distributions test unseen attack sources.,attack-source distribution holdout,,prefix-level traffic aggregate,source corpus determines the partition,eligible,,EVD1842 | EVD1841
DES0148,P41311,security_state_classification,Cost-based source-proximity transfer,benign prefix versus attack-source prefix,2,binary,DS-MAWI,SCH0271,The standard scenario training partition trains one model.,,Independent cost-based source sets at four proximity values and distinct MAWI excerpts are tested.,independent cost-scenario holdout,,prefix-level traffic aggregate,scenario groups are generated separately from training,eligible,,EVD1841
DES0149,P41311,security_state_classification,Dynamic multivector attack transfer,benign prefix versus attack-source prefix,2,binary,DS-BOOTERS-2015 | DS-CIC-DDOS-2019 | DS-MAWI | DS-SUCURI-SSDP-2014,SCH0269 | SCH0270 | SCH0271 | SCH0272,The standard scenario training partition trains one model.,,Independent multivector scenarios with changing source sets and unique benign excerpts are tested.,independent dynamic-scenario holdout,,prefix-level traffic aggregate,scenario groups are generated separately from training,eligible,,EVD1841
DES0150,P41311,security_state_classification,Scenario-disjoint prefix classification,benign prefix versus attack-source prefix,2,binary,DS-BOOTERS-2015 | DS-CIC-DDOS-2019 | DS-MAWI | DS-SUCURI-SSDP-2014,SCH0269 | SCH0270 | SCH0271 | SCH0272,Forty-two generated scenarios with disjoint attack and benign source sets train the random forest.,,Forty-two separately generated scenarios with separated prefix-level features are tested.,scenario and source-set holdout,,prefix-level traffic aggregate,scenario membership determines the train and test partition,eligible,,EVD1842 | EVD1841
DES0151,P41709,security_state_classification,Per-query DNS tunnel detection in production,DNS tunnel versus non-tunnel query,2,binary,DS-P41709-TUNTIGHT-DEPLOYMENT,SCH0276,"The detector is learned, but its training-corpus construction is not documented in accessible metadata.",Not documented in accessible publisher metadata.,A two-month production deployment confirms 349 tunnels. Exact negative sampling and split construction are unavailable.,production_deployment_evaluation,two_month_observation,dns_query_feature_vector,not_reported,eligible,,EVD1854 | EVD1852 | EVD1853
DES0152,P42427,semantic_inference,Automated app recognition,target app versus other traffic,2,binary,DS-P42427-FOAP-AUTO | DS-P42427-MOBILE-WEB | DS-P42427-PC-BACKGROUND | DS-PINGPONG-IOT,SCH0284 | SCH0288 | SCH0289 | SCH0290,Forty automated instances per app train the classifier.,,Ten remaining instances per app plus disjoint negative apps and background corpora test it.,random_instance_split,,flow_or_in_flow_burst,automated instances,eligible,,EVD1656
DES0153,P42427,semantic_inference,Automated executing-path classification,mutually exclusive executing-path identity within a recognized app,2,multiclass,DS-P42427-FOAP-AUTO,SCH0285,Executing-path bursts from forty automated instances per app train the classifier.,,Bursts from ten remaining instances per app provide testing.,random_instance_split,,flow_or_in_flow_burst,automated instances,eligible,,EVD1657
DES0154,P42427,semantic_inference,Leave-one-volunteer-out app recognition,target app versus other traffic,2,binary,DS-P42427-FOAP-HUMAN,SCH0286,Sessions from four volunteers train each fold.,,The fifth volunteer supplies the held-out test sessions.,leave_one_volunteer_out,,flow_or_in_flow_burst,volunteer identity,eligible,,EVD1658
DES0155,P42427,semantic_inference,Leave-one-volunteer-out executing-path classification,mutually exclusive executing-path identity within a recognized app,2,multiclass,DS-P42427-FOAP-HUMAN,SCH0287,Executing-path bursts from four volunteers train each fold.,,The fifth volunteer supplies the held-out test bursts.,leave_one_volunteer_out,,flow_or_in_flow_burst,volunteer identity,eligible,,EVD1659
DES0156,P42427,semantic_inference,Automated-to-human app recognition,target app versus other traffic,2,binary,DS-P42427-FOAP-AUTO | DS-P42427-FOAP-HUMAN,SCH0284 | SCH0286,Automated app sessions train the classifier.,,Human-operated sessions from five volunteers test it.,cross_client_source_target,,flow_or_in_flow_burst,generation source,eligible,,EVD1660
DES0157,P42427,semantic_inference,Automated-to-human executing-path classification,mutually exclusive executing-path identity within a recognized app,2,multiclass,DS-P42427-FOAP-AUTO | DS-P42427-FOAP-HUMAN,SCH0285 | SCH0287,Automated executing-path bursts train the classifier.,,Human-operated bursts from five volunteers test it.,cross_client_source_target,,flow_or_in_flow_burst,generation source,eligible,,EVD1661
DES0158,P42516,semantic_inference,Passive OpenVPN traffic detection,OpenVPN versus non-OpenVPN,2,binary,DS-P42516-MERIT-DEPLOYMENT | DS-P42516-MERIT-TUNING | DS-P42516-VPN-TUNING,SCH0296 | SCH0297 | SCH0298,A weighted decision tree is trained on July 28 ambient ISP flows and controlled VPN traces from providers not used in deployment.,The tuning corpus selects the passive ACK thresholds and tree.,The classifier is tested during the distinct August 13 to 20 Merit deployment.,chronological_deployment_holdout,separable passive stage,flow,collection period before model fitting,eligible,,EVD1662
DES0159,P42933,security_state_classification,Interactive SSH impostor detection,claimed user versus impostor,2,binary,DS-P42933-LBNL-SSH,SCH0320,August through October 2016 sessions train the model.,,November 2016 sessions provide testing.,three_month_to_next_month,,interactive_session,calendar month before sample extraction,eligible,,EVD1663
DES0160,P42933,security_state_classification,Long-horizon SSH impostor detection,claimed user versus impostor,2,binary,DS-P42933-LBNL-SSH,SCH0320,August through October 2016 sessions train the fixed model.,,The following 74 months measure performance decay.,fixed_model_longitudinal,,interactive_session,calendar month before sample extraction,eligible,,EVD1664
DES0161,P42933,security_state_classification,Rolling SSH impostor detection,claimed user versus impostor,2,binary,DS-P42933-LBNL-SSH,SCH0320,"For each 2022 month, prior months supply the training window.",,The next calendar month supplies testing.,rolling_monthly_retraining,,interactive_session,calendar month before sample extraction,eligible,,EVD1665
DES0162,P42933,endpoint_or_platform_identification,Interactive SSH user identification,user identity,183,multiclass,DS-P42933-LBNL-SSH,SCH0321,The same three-month SSH training setting is used for the user classifier.,,The following month supplies unlabeled SSH sessions for 183-way prediction.,three_month_to_next_month,,interactive_session,calendar month before sample extraction,eligible,,EVD1666
DES0163,P42933,security_state_classification,Interactive Telnet and Rlogin impostor detection,claimed user versus impostor,2,binary,DS-P42933-LBNL-TELNET,SCH0322,The first two months train the authentication model.,,The last month supplies testing.,two_month_to_last_month,,interactive_session,calendar month before sample extraction,eligible,,EVD1667
DES0164,P43680,security_state_classification,DNS over HTTPS tunnel tool classification,"Benign, DNS2TCP, DNSCat2, and Iodine",4,multiclass,DS-CIRA-CIC-DOHBRW-2020,SCH0338,Eight tenths of the paper-selected flows are used for supervised training.,One tenth of the paper-selected flows are used for validation.,One tenth of the paper-selected flows are used for clean test evaluation.,sample_holdout,eight_one_one_partition,network_flow,sample_level_after_pooling,eligible,,EVD1865 | EVD1868 | EVD1867
DES0165,P43680,security_state_classification,Intrusion traffic classification,"Benign-audio, Benign-video, BruteForce-http, BruteForce-telnet, and Mirai",5,multiclass,DS-TII-SSRC-23,SCH0339,Eight tenths of the paper-selected flows are used for supervised training.,One tenth of the paper-selected flows are used for validation.,One tenth of the paper-selected flows are used for clean test evaluation.,sample_holdout,eight_one_one_partition,network_flow,sample_level_after_pooling,eligible,,EVD1865 | EVD1868 | EVD1867
DES0166,P43793,security_state_classification,FBSAD packet and trace detection,fake-base-station or multi-step attack state,2,binary,DS-P43793-FBSAD,SCH0340 | SCH0341,The custom script assigns roughly 80 percent of complete experimental traces to training.,,The remaining complete traces provide testing and no trace is cut across partitions.,trace_grouped_80_20,,experimental_trace,trace identity before packet extraction,eligible,,EVD1668
DES0167,P43793,security_state_classification,Controlled-lab FBS deployment validation,attack versus benign,2,binary,DS-P43793-FBSAD | DS-P43793-LAB-VALIDATION,SCH0341 | SCH0342,Models are trained on the POWDER FBSAD or MSAD traces.,,A separately built smartphone and radio testbed supplies ordinary fake-base-station and benign validation traces.,deployment_environment_holdout,zero-shot for unseen attack where applicable,trace,deployment environment before inference,eligible,,EVD1669
DES0168,P43793,security_state_classification,Controlled-lab 21-attack deployment validation,benign plus 21 attack identities,22,multiclass,DS-P43793-LAB-VALIDATION | DS-P43793-MSAD,SCH0343 | SCH0344,Models are trained on the POWDER FBSAD or MSAD traces.,,A separately built smartphone and radio testbed supplies all 21 attacks and benign validation traces.,deployment_environment_holdout,zero-shot for unseen attack where applicable,trace,deployment environment before inference,eligible,,EVD1670
DES0169,P43793,security_state_classification,MSAD graph attack recognition,fake-base-station or multi-step attack state,22,multiclass,DS-P43793-MSAD,SCH0344,Graph learning uses roughly 80 percent of complete experimental traces.,,The remaining complete traces provide 22-class testing.,trace_grouped_80_20,,experimental_trace,trace identity before packet extraction,eligible,,EVD1671
DES0170,P43793,security_state_classification,Zero-shot Overshadow attack detection,attack versus benign,2,binary,DS-P43793-FBSAD | DS-P43793-LAB-VALIDATION,SCH0341 | SCH0342,Models are trained on the POWDER FBSAD or MSAD traces.,,A separately built smartphone and radio testbed supplies unseen Overshadow attack and benign validation traces.,deployment_environment_holdout,zero-shot for unseen attack where applicable,trace,deployment environment before inference,eligible,,EVD1672
DES0171,P43907,security_state_classification,Native-channel AIT detection,artificially inflated SMS attack versus genuine request,2,binary,DS-P43907-SMS-AIT,SCH0345,The first two months train a gradient-boosted tree classifier.,The first 15 days of month three form the validation set.,The remaining two weeks of month three form the final test set.,chronological_train_validation_test,channel-specific model,sms_request,timestamp before model fitting,eligible,,EVD1673
DES0172,P43907,security_state_classification,Web-channel AIT detection,artificially inflated SMS attack versus genuine request,2,binary,DS-P43907-SMS-AIT,SCH0346,The first two months train a gradient-boosted tree classifier.,The first 15 days of month three form the validation set.,The remaining two weeks of month three form the final test set.,chronological_train_validation_test,channel-specific model,sms_request,timestamp before model fitting,eligible,,EVD1674
DES0173,P46126,security_state_classification,Web tracker traffic detection,tracker versus benign traffic,2,binary,DS-P46126-NETTRACK,SCH0359,Twenty percent of the pooled corpus is used for feature selection through ten-fold cross-validation.,The feature-selection folds operate within the 20 percent pool.,Final performance uses ten-fold cross-validation over the remaining 80 percent test pool.,pooled_cross_validation,20 percent feature selection and 80 percent final pool,tcp_connection,sample split after pooling,eligible,,EVD1675
DES0174,P46215,security_state_classification,Cross-application vulnerability-scanner detection,web vulnerability scanner versus human visitor,2,binary,DS-P46215-SCANNERSCOPE,SCH0360 | SCH0361,WordPress scanner and human sessions train the classifier.,,Joomla scanner and human sessions test cross-application generalization.,target_application_holdout,,request_window,session or scanner source before request batching,eligible,,EVD1676
DES0175,P46215,security_state_classification,Joomla vulnerability-scanner detection,web vulnerability scanner versus human visitor,2,binary,DS-P46215-SCANNERSCOPE,SCH0360,Joomla sessions are divided 80 percent for training.,,The remaining 20 percent of Joomla sessions provide testing.,session_sample_split,,request_window,session or scanner source before request batching,eligible,,EVD1677
DES0176,P46215,security_state_classification,Unseen-scanner generalization,web vulnerability scanner versus human visitor,2,binary,DS-P46215-SCANNERSCOPE,SCH0360 | SCH0361,Known scanner tools and human sessions train the classifier.,,"One, four, or six scanner implementations are omitted from training and used as positive tests.",scanner_implementation_grouping,,request_window,session or scanner source before request batching,eligible,,EVD1678
DES0177,P46215,security_state_classification,WordPress vulnerability-scanner detection,web vulnerability scanner versus human visitor,2,binary,DS-P46215-SCANNERSCOPE,SCH0361,WordPress sessions are divided 80 percent for training.,,The remaining 20 percent of WordPress sessions provide testing.,session_sample_split,,request_window,session or scanner source before request batching,eligible,,EVD1679
DES0178,P48170,security_state_classification,General mobile A&T detection,advertising or tracking request versus other request,2,binary,DS-P48170-NOMOATS,SCH0405,Five-fold cross-validation is applied over the complete pooled request corpus.,,Each fold reports fixed-label request classification performance.,five_fold_cross_validation,general or per-app pooling,http_request,sample folds after pooling,eligible,,EVD1680
DES0179,P48170,security_state_classification,Per-app mobile A&T detection,advertising or tracking request versus other request,2,binary,DS-P48170-NOMOATS,SCH0406,Five-fold cross-validation is applied independently within each of 128 qualifying app corpora.,,Each fold reports fixed-label request classification performance.,five_fold_cross_validation,general or per-app pooling,http_request,sample folds after pooling,eligible,,EVD1681
DES0180,P48723,security_state_classification,Chrome-to-Brave tracker classification,tracker versus non-tracker response,2,binary,DS-P48723-TEX-2022,SCH0449,Chrome 2022 responses train and calibrate the classifiers.,,The independently crawled Brave 2022 responses provide testing.,browser_holdout,response-header and request-header features share the same design,http_response,Chrome and Brave,eligible,,EVD1682
DES0181,P48723,security_state_classification,Chrome-to-Firefox tracker classification,tracker versus non-tracker response,2,binary,DS-P48723-TEX-2022,SCH0449,Chrome 2022 responses train and calibrate the classifiers.,,The independently crawled Firefox 2022 responses provide testing.,browser_holdout,response-header and request-header features share the same design,http_response,Chrome and Firefox,eligible,,EVD1683
DES0182,P48723,security_state_classification,Intra-Chrome 2022 tracker classification,tracker versus non-tracker response,2,binary,DS-P48723-TEX-2022,SCH0449,Chrome 2022 is stratified into 80 percent training with a 10 percent calibration subset.,Repeated stratified five-fold calibration and five repeats operate within training.,The reserved 20 percent Chrome 2022 responses provide testing.,stratified_sample_split,response-header and request-header features share the same design,http_response,Chrome 2022 train and test,eligible,,EVD1684
DES0183,P48723,security_state_classification,Chrome 2022-to-2023 tracker classification,tracker versus non-tracker response,2,binary,DS-P48723-TEX-2022 | DS-P48723-TEX-2023,SCH0449 | SCH0450,Chrome 2022 responses train and calibrate the classifiers.,,The independently collected Chrome 2023 responses provide testing almost one year later.,longitudinal_year_holdout,response-header and request-header features share the same design,http_response,Chrome 2022 and Chrome 2023,eligible,,EVD1685
DES0184,P16247,security_state_classification,DoHBrw-ALL dynamic-client classification,normal DoH or one of three malicious DoH traffic types,4,multiclass,DS-P16247-DOHBRW-ALL-2024,SCH0453,Training: Meta-training on reported source-condition groups. Testing: Held-out target-condition group.,,,condition_holdout_non_temporal,,session_or_trace,see_dimension_specific_rq2_decisions,eligible,,EVD2280 | EVD2281 | EVD2282 | EVD2283 | EVD2284 | EVD2285
DES0185,P16247,security_state_classification,DoHBrw-NetEnv binary network-environment classification,normal versus malicious DoH,2,binary,DS-CIRA-CIC-DOHBRW-2020,SCH0454,Training: Meta-training on reported source-condition groups. Testing: Held-out target-condition group.,,,condition_holdout_non_temporal,,session_or_trace,see_dimension_specific_rq2_decisions,eligible,,EVD2286 | EVD2287 | EVD2288 | EVD2289 | EVD2290 | EVD2291
DES0186,P16247,security_state_classification,DoHBrw-ALL host-plus-network classification,normal DoH or one of three malicious DoH traffic types,4,multiclass,DS-P16247-DOHBRW-ALL-2024,SCH0453,Training: Meta-training on reported source-condition groups. Testing: Held-out target-condition group.,,,condition_holdout_non_temporal,,session_or_trace,see_dimension_specific_rq2_decisions,eligible,,EVD2292 | EVD2293 | EVD2294 | EVD2295 | EVD2296 | EVD2297
DES0187,P16931,semantic_inference,Wiki19K Experiment 1: known-page classification,Wikipedia page identity,6000,multiclass,DS-P16931-WIKI19000,SCH0456,"Training: Set A supplies 90 samples per class for model/reference construction over 6,000 pages and Set B supplies 10 held-out samples per class; the sets have no sample overlap. Testing: Set A supplies 90 samples per class for model/reference construction over 6,000 pages and Set B supplies 10 held-out samples per class; the sets have no sample overlap.",,,single_campaign_or_period_split,,action_or_visit,see_dimension_specific_rq2_decisions,eligible,,EVD2298 | EVD2299 | EVD2300 | EVD2301 | EVD2302 | EVD2303
DES0188,P16931,semantic_inference,Wiki19K Experiment 2: new-class reference adaptation,Wikipedia page identity,13000,multiclass,DS-P16931-WIKI19000,SCH0457,"Training: The embedding is learned from Set A's 6,000 classes, while labelled references in Set C and tests in Set D cover 13,000 disjoint page classes without sample overlap. Testing: The embedding is learned from Set A's 6,000 classes, while labelled references in Set C and tests in Set D cover 13,000 disjoint page classes without sample overlap.",,,condition_holdout_non_temporal,,action_or_visit,see_dimension_specific_rq2_decisions,eligible,,EVD2304 | EVD2305 | EVD2306 | EVD2307 | EVD2308 | EVD2309
DES0189,P16931,semantic_inference,TLS 1.2 to TLS 1.3 webpage fingerprinting,website identity under TLS-version change,500,multiclass,DS-P16931-WIKI19000,SCH0455,"Training: The TLS 1.2-trained representation is applied to a TLS 1.3 Wiki500 subset, with labelled target references used by the downstream nearest-neighbour classifier; capture-time ordering is not used. Testing: The TLS 1.2-trained representation is applied to a TLS 1.3 Wiki500 subset, with labelled target references used by the downstream nearest-neighbour classifier; capture-time ordering is not used.",,,condition_holdout_non_temporal,,action_or_visit,see_dimension_specific_rq2_decisions,eligible,,EVD2310 | EVD2311 | EVD2312 | EVD2313 | EVD2314 | EVD2315
DES0190,P16931,semantic_inference,Wiki19K to GitHub500 adaptive fingerprinting,GitHub page identity,500,multiclass,DS-P16931-GITHUB500 | DS-P16931-WIKI19000,SCH0458 | SCH0459,"Training: The sequence embedding is learned on Wiki19K, while labelled GitHub500 reference traces construct the target classifier and separate GitHub samples are queried. Testing: The sequence embedding is learned on Wiki19K, while labelled GitHub500 reference traces construct the target classifier and separate GitHub samples are queried.",,,condition_holdout_non_temporal,,action_or_visit,see_dimension_specific_rq2_decisions,eligible,,EVD2316 | EVD2317 | EVD2318 | EVD2319 | EVD2320 | EVD2321
DES0191,P17290,semantic_inference,ODoH fingerprinting baseline,website identity,100,multiclass,DS-P17290-ODOH,SCH0460,Training: Sixty percent main-collection samples. Testing: Forty percent main-collection samples.,,,official_or_fixed_partition_time_unknown,,action_or_visit,see_dimension_specific_rq2_decisions,eligible,,EVD2322 | EVD2323 | EVD2324 | EVD2325 | EVD2326 | EVD2327
DES0192,P17290,semantic_inference,Leave-one-client-location-out ODoH fingerprinting,website identity,100,multiclass,DS-P17290-ODOH,SCH0460,Training: Traffic from nine client locations. Testing: Traffic from the excluded location.,,,condition_holdout_non_temporal,,device,see_dimension_specific_rq2_decisions,eligible,,EVD2328 | EVD2329 | EVD2330 | EVD2331 | EVD2332 | EVD2333
DES0193,P17290,semantic_inference,Six-week ODoH temporal fingerprinting,website identity,100,multiclass,DS-P17290-ODOH,SCH0460,Training: First-round 100-site collection. Testing: Second-round collection after six weeks.,,,heldout_later_campaign,,action_or_visit,see_dimension_specific_rq2_decisions,eligible,,EVD2334 | EVD2335 | EVD2336 | EVD2337 | EVD2338 | EVD2339
DES0194,P17610,endpoint_or_platform_identification,YouTube TCP/TLS laboratory user-platform classification,"YouTube-specific device, operating-system, and software-agent combinations",15,multiclass,DS-P17610-CHLO,SCH0464,The paper trains a separate classifier bank for each provider and transport. Table 1 gives the complete supported platform set and the laboratory evaluation uses 10-fold cross-validation.,,,provider-specific 10-fold cross-validation,,flow,see_dimension_specific_rq2_decisions,eligible,,EVD2340 | EVD2341 | EVD2342 | EVD2343 | EVD2344 | EVD2345
DES0195,P17610,endpoint_or_platform_identification,Netflix TCP/TLS laboratory user-platform classification,"Netflix-specific device, operating-system, and software-agent combinations",12,multiclass,DS-P17610-CHLO,SCH0461,The paper trains a separate classifier bank for each provider and transport. Table 1 gives the complete supported platform set and the laboratory evaluation uses 10-fold cross-validation.,,,provider-specific 10-fold cross-validation,,flow,see_dimension_specific_rq2_decisions,eligible,,EVD2346 | EVD2347 | EVD2348 | EVD2349 | EVD2350 | EVD2351
DES0196,P17610,endpoint_or_platform_identification,Disney+ TCP/TLS laboratory user-platform classification,"Disney+-specific device, operating-system, and software-agent combinations",12,multiclass,DS-P17610-CHLO,SCH0462,The paper trains a separate classifier bank for each provider and transport. Table 1 gives the complete supported platform set and the laboratory evaluation uses 10-fold cross-validation.,,,provider-specific 10-fold cross-validation,,flow,see_dimension_specific_rq2_decisions,eligible,,EVD2352 | EVD2353 | EVD2354 | EVD2355 | EVD2356 | EVD2357
DES0197,P17610,endpoint_or_platform_identification,Amazon Prime Video TCP/TLS laboratory user-platform classification,"Amazon Prime Video-specific device, operating-system, and software-agent combinations",13,multiclass,DS-P17610-CHLO,SCH0463,The paper trains a separate classifier bank for each provider and transport. Table 1 gives the complete supported platform set and the laboratory evaluation uses 10-fold cross-validation.,,,provider-specific 10-fold cross-validation,,flow,see_dimension_specific_rq2_decisions,eligible,,EVD2358 | EVD2359 | EVD2360 | EVD2361 | EVD2362 | EVD2363
