dataset_id,canonical_name,origin_type,collection_years,capture_provenance,dataset_boundary_basis,canonical_citation_key,canonical_citation,doi,canonical_url,identity_confidence,paper_ids,scheme_ids,use_ids,evidence_ids
DS-ISCX-TOR-2016,ISCX-Tor-2016,external_reused,,"Single Lashkari/Draper-Gil Tor and non-Tor application-traffic capture, class selections and preprocessing remain one corpus. || Tor and non-Tor traffic captured for the Lashkari et al. characterization study. || Single Lashkari/Draper-Gil Tor and non-Tor application-traffic capture, Tor/non-Tor and service/application views remain one corpus.",Retained as a separately named or independently provenanced traffic corpus.,lashkari2017iscxtor,"Arash Habibi Lashkari, Gerard Draper-Gil, Mohammad Saiful Islam Mamun, and Ali A. Ghorbani. 2017. Characterization of Tor Traffic Using Time Based Features. In Proceedings of the 3rd International Conference on Information Systems Security and Privacy (ICISSP), 253-262.",,https://cicresearch.ca/CICDataset/ISCX-Tor-NonTor-2017/,high,P07480 | P11328 | P12435 | P13076 | P14955 | P39064 | P45261 | P46267 | P46427 | P47085,SCH0002 | SCH0009 | SCH0020 | SCH0025 | SCH0027 | SCH0089 | SCH0249 | SCH0353 | SCH0362 | SCH0366 | SCH0372 | SCH0388 | SCH0397,USE0005 | USE0009 | USE0016 | USE0018 | USE0045 | USE0160 | USE0231 | USE0238 | USE0243 | USE0253,EVD0457 | EVD0463 | EVD0524 | EVD0574 | EVD0600 | EVD0667 | EVD0697 | EVD0799 | EVD0827 | EVD0851 | EVD0854 | EVD0862 | EVD0866 | EVD0870 | EVD1149 | EVD1168 | EVD1173 | EVD1689 | EVD1690 | EVD1691 | EVD1706 | EVD1707 | EVD1885 | EVD1889 | EVD1896 | EVD1897 | EVD2056 | EVD2155 | EVD2171 | EVD2172 | EVD2174 | EVD2188 | EVD2192
DS-ISCX-VPN-2016,ISCX-VPN-2016,external_reused,,"Single Draper-Gil/Lashkari capture of VPN and non-VPN application traffic. Service/application class selections, VPN-only/non-VPN subsets, and alternate label views remain one underlying corpus. || Encrypted and VPN traffic collected by Draper-Gil et al., application and service tasks are label views of the same corpus. || Single Draper-Gil/Lashkari capture of VPN and non-VPN application traffic. VPN/non-VPN, service, application, and binary/multiclass label views remain one underlying sample pool.",Retained as a separately named or independently provenanced traffic corpus.,drapergil2016iscxvpn,"Gerard Draper-Gil, Arash Habibi Lashkari, Mohammad Saiful Islam Mamun, and Ali A. Ghorbani. 2016. Characterization of Encrypted and VPN Traffic Using Time-Related Features. ICISSP, 407-414.",10.5220/0005740704070414,https://doi.org/10.5220/0005740704070414,high,P07480 | P11328 | P12435 | P13076 | P14774 | P35345 | P38761 | P39064 | P39771 | P39804 | P41766 | P44356 | P45261 | P46267 | P46427,SCH0005 | SCH0010 | SCH0022 | SCH0026 | SCH0028 | SCH0078 | SCH0082 | SCH0084 | SCH0233 | SCH0237 | SCH0245 | SCH0248 | SCH0258 | SCH0262 | SCH0263 | SCH0264 | SCH0278 | SCH0280 | SCH0348 | SCH0351 | SCH0352 | SCH0365 | SCH0368 | SCH0373,USE0003 | USE0007 | USE0014 | USE0017 | USE0038 | USE0144 | USE0148 | USE0158 | USE0169 | USE0172 | USE0185 | USE0226 | USE0229 | USE0236 | USE0240,EVD0466 | EVD0487 | EVD0506 | EVD0520 | EVD0539 | EVD0547 | EVD0548 | EVD0604 | EVD0613 | EVD0634 | EVD0713 | EVD0734 | EVD0787 | EVD0789 | EVD0794 | EVD0810 | EVD0821 | EVD0834 | EVD0845 | EVD0852 | EVD0853 | EVD0856 | EVD0857 | EVD0874 | EVD0877 | EVD0882 | EVD0888 | EVD1140 | EVD1148 | EVD1163 | EVD1167 | EVD1170 | EVD1179 | EVD1186 | EVD1187 | EVD1188 | EVD1189 | EVD1689 | EVD1690 | EVD1691 | EVD1832 | EVD1886 | EVD1888 | EVD1894 | EVD1895 | EVD1935 | EVD1936 | EVD1942 | EVD1943 | EVD1944 | EVD1945 | EVD2032 | EVD2041 | EVD2054 | EVD2055 | EVD2075 | EVD2079 | EVD2080 | EVD2083 | EVD2085 | EVD2099 | EVD2100 | EVD2145 | EVD2146 | EVD2147 | EVD2156 | EVD2157 | EVD2158 | EVD2169 | EVD2170 | EVD2175
DS-KDDCUP-99,KDD Cup 1999,external_reused,1998,Connection records from seven weeks of DARPA 1998 training traffic and two weeks of separate test traffic.,Independently named public intrusion corpus.,ds_kddcup_99,KDD Cup 1999 intrusion detection dataset.,10.1109/CISDA.2009.5356528,http://kdd.ics.uci.edu/databases/kddcup99/kddcup99.html,high,P13937 | P26148,SCH0031 | SCH0227 | SCH0228,USE0022 | USE0137,EVD1697 | EVD1699 | EVD1700 | EVD1802 | EVD1807 | EVD1808 | EVD1812 | EVD1813
DS-KITSUNE,Kitsune network intrusion corpus,external_reused,2018,Packet-level Kitsune intrusion traces with ground-truth malicious and benign labels.,Retained as the named Kitsune source corpus.,p16406,Lumen: a framework for developing and evaluating ML-based IoT network anomaly detection.,10.1145/3555050.3569129,https://doi.org/10.1145/3555050.3569129,high,P16406,SCH0172,USE0102,EVD1640 | EVD1642 | EVD1654 | EVD1751
DS-KITSUNE-SSDP-FLOOD,Kitsune SSDP Flood capture,external_reused,,SSDP reflection-flood traffic from the Kitsune dataset.,Retained as a separately named or independently provenanced traffic corpus.,mirsky2018kitsune,"Yisroel Mirsky, Tomer Doitshman, Yuval Elovici, and Asaf Shabtai. 2018. Kitsune: An Ensemble of Autoencoders for Online Network Intrusion Detection. arXiv:1802.09089.",,https://archive.ics.uci.edu/dataset/516/kitsune+network+attack+dataset,high,P15558 | P16248,SCH0106 | SCH0156,USE0049 | USE0090,EVD0599 | EVD1162 | EVD1710 | EVD1711 | EVD1712 | EVD1714 | EVD1738 | EVD1739 | EVD1740 | EVD1741
DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,MalPhase-selected VirusTotal sandbox PCAPs,external_reused,,Malware hashes gathered from several feeds were resolved through VirusTotal and corresponding sandbox network packet captures were downloaded; the binaries/hash feeds are not counted.,Retained as a separately named or independently provenanced traffic corpus.,DBLP:conf/asiaccs/PiskozubGBMM21,Michal Piskozub; Fabio De Gaspari; Frederick Barr-Smith; Luigi V. Mancini; Ivan Martinovic. 2021. MalPhase: Fine-Grained Malware Detection Using Network Flow Data. AsiaCCS.,10.1145/3433210.3453101,https://doi.org/10.1145/3433210.3453101,low,P14000,SCH0037 | SCH0041 | SCH0047 | SCH0048 | SCH0050 | SCH0052,USE0026,EVD0659 | EVD1157 | EVD1901 | EVD1902 | EVD1903 | EVD1904 | EVD1905 | EVD1906
DS-MALWARE-TRAFFIC-ANALYSIS-NET,Malware-Traffic-Analysis.net corpus,external_reused,2018 | 2019 | 2020 | 2021 | 2022 | 2023,Malware-Traffic-Analysis.net corpus contains 984 retained traffic components.,The 983 MalTAG source groups and FlowRefiner's Malware2023 selection all come from the same named Malware-Traffic-Analysis.net archive; individual exercises and selected files are corpus components.,malwaretrafficarchive,Malware-Traffic-Analysis.net. 2018-2023. Malware Traffic Analysis Exercises and PCAP Archive.,10.1145/3678890.3678921,https://www.malware-traffic-analysis.net/index.html,high,P17269 | P35345 | P39111,SCH0183 | SCH0189 | SCH0231 | SCH0476,USE0114 | USE0146 | USE0297,EVD0630 | EVD0722 | EVD0815 | EVD0818 | EVD0832 | EVD1177 | EVD1763 | EVD1764 | EVD1986 | EVD1989 | EVD2035 | EVD2461 | EVD2462 | EVD2463 | EVD2464 | EVD2465 | EVD2466 | EVD2467 | EVD2468 | EVD2469 | EVD2470 | EVD2471 | EVD2472
DS-MAWI,MAWI/WIDE Samplepoint-F corpus,external_reused,2023,MAWI/WIDE Samplepoint-F corpus contains 2 retained traffic components.,The two dated trace files are daily components of the same named MAWI archive.,cho2000mawi,"Kenjiro Cho, Koushirou Mitsuya, and Akira Kato. 2000. Traffic Data Repository at the WIDE Project. USENIX FREENIX Track.",,https://mawi.wide.ad.jp/mawi/,high,P16004 | P17269 | P41311,SCH0114 | SCH0188 | SCH0271,USE0058 | USE0110 | USE0176,EVD0766 | EVD0898 | EVD0899 | EVD0900 | EVD1636 | EVD1716 | EVD1763 | EVD1764 | EVD1845 | EVD1989
DS-MEI-2023-SINGLE-TAB,Mei et al. 2023 single-tab website-fingerprinting dataset,external_reused,2023,Single-tab real-world website traffic released by the cited work.,Retained as a separately named or independently provenanced traffic corpus.,mei2025realworld,"Haoyang Mei, Guang Cheng, and Y. Yuan. 2025. High Precision and Efficient Anonymous Traffic Classification in the Real-World. IEEE/ACM Transactions on Networking.",10.1109/TON.2024.3518976,https://doi.org/10.1109/TON.2024.3518976,high,P41557,SCH0274,USE0181,EVD0591 | EVD0901 | EVD2093
DS-MONIOT-2019,Mon(IoT)r corpus,external_reused,,Mon(IoT)r corpus contains 2 retained traffic components.,UK and US are collection-site components in the same Mon(IoT)r release.,ren2019moniot,"Jingjing Ren, Daniel J. Dubois, David R. Choffnes, Anna Maria Mandalari, Roman Kolcun, and Hamed Haddadi. 2019. Information Exposure From Consumer IoT Devices: A Multidimensional, Network-Informed Measurement Approach. IMC, 267-279.",10.1145/3355369.3355577,https://doi.org/10.1145/3355369.3355577,high,P48305,SCH0429 | SCH0436 | SCH0445,USE0273,EVD0521 | EVD0715 | EVD0902 | EVD0903 | EVD0904 | EVD2232 | EVD2242 | EVD2243 | EVD2258 | EVD2259 | EVD2260
DS-NETBEACON-TRAFFIC,NetBeacon traffic corpus,external_reused,,Named malicious traffic benchmark released with NetBeacon.,Retained as a named independently provenanced corpus.,,,,,high,P15558 | P16248,SCH0107 | SCH0157,USE0051 | USE0092,EVD1710 | EVD1711 | EVD1712 | EVD1714 | EVD1738 | EVD1739 | EVD1740 | EVD1741
DS-NETWORK-DEVICE-DATASET-HOLLAND-2020,Holland et al. Network Device Dataset,external_reused,,Active network-device/vendor fingerprinting traffic collected by Holland et al.,Retained as a separately named or independently provenanced traffic corpus.,holland2020vendors,"Jordan Holland, Ross Teixeira, Paul Schmitt, Kevin Borgolte, Jennifer Rexford, Nick Feamster, and Jonathan Mayer. 2020. Classifying Network Vendors at Internet Scale. arXiv:2006.13086.",,https://arxiv.org/abs/2006.13086,high,P14774,SCH0086,USE0039,EVD0743 | EVD0905 | EVD1932
DS-NUDT-MOBILETRAFFIC-2020,NUDT MobileTraffic,external_reused,2020,Large-scale Android application traffic captured from 224 volunteers on real phones between May and July 2020. NUDT MobileTraffic and Application-Host are aliases supported by the same Zhao et al. citation and matching sample provenance.,Retained as a separately named or independently provenanced traffic corpus.,zhao2024nudt,"Shuang Zhao, Shuhui Chen, Fei Wang, Ziling Wei, Jincheng Zhong, and Jianbing Liang. 2024. A Large-Scale Mobile Traffic Dataset for Mobile Application Identification. The Computer Journal 67(4), 1501-1513.",10.1093/comjnl/bxad076,https://doi.org/10.1093/comjnl/bxad076,high,P16071 | P16247 | P17323,SCH0120 | SCH0142 | SCH0192,USE0066 | USE0084 | USE0116,EVD0534 | EVD0535 | EVD0906 | EVD0907 | EVD0908 | EVD1718 | EVD1720 | EVD1721 | EVD1964 | EVD1996
DS-ONION-SITES-2016,Overdorf onion-site traffic corpus,external_reused,,Tor hidden-service website traces released for the cited onion-site study.,Retained as a separately named or independently provenanced traffic corpus.,overdorf2017onion,"Rebekah Overdorf, Marc Juarez, Gunes Acar, Rachel Greenstadt, and Claudia Diaz. 2017. How Unique is Your .onion?: An Analysis of the Fingerprintability of Tor Onion Services. In ACM CCS.",,https://zenodo.org/records/11631265,high,P48205,SCH0407,USE0259,EVD0511 | EVD0909 | EVD2220
DS-P05927-PROTOCOL-REPOSITORY,MAPLE coordinated VoIP protocol repository,paper_coordinated_release,,"A coordinated 15,523-stream corpus assembled from seven named public repositories for the paper's VoIP experiments.",The paper releases and evaluates the merged repository as one coordinated corpus. Its source components are not evaluated separately for the qualifying RTP task.,,,,,high,P05927,SCH0001,USE0001,EVD1686 | EVD1687 | EVD1688
DS-P13958-HOMEMOLE,HomeMole corpus,self_collected,,HomeMole corpus contains 2 retained traffic components.,Dataset-Ind and Dataset-Noise are evaluation conditions of the same HomeMole traffic source.,DBLP:conf/ccs/Dong0TCSZ20,Shuaike Dong; Zhou Li; Di Tang; Jiongyi Chen; Menghan Sun; Kehuan Zhang. 2020. Your Smart Home Can't Keep a Secret: Towards Automated Fingerprinting of IoT Traffic. AsiaCCS.,10.1145/3320269.3384732,https://github.com/DongShuaike/iot-traffic-dataset.git,high,P13958,SCH0036,USE0024,EVD0611 | EVD0760 | EVD0910 | EVD0911 | EVD1899 | EVD1900
DS-P14000-MALPHASE-RESEARCH-SERVERS,MalPhase research-server benign corpus,self_collected,,MalPhase research-server benign corpus contains 2 retained traffic components.,Research Servers A and B are collection-site components of one paper-local benign corpus; the unrelated CTU and VirusTotal sources remain separate.,DBLP:conf/asiaccs/PiskozubGBMM21,Michal Piskozub; Fabio De Gaspari; Frederick Barr-Smith; Luigi V. Mancini; Ivan Martinovic. 2021. MalPhase: Fine-Grained Malware Detection Using Network Flow Data. AsiaCCS.,10.1145/3433210.3453101,https://doi.org/10.1145/3433210.3453101,high,P14000,SCH0040 | SCH0045 | SCH0046 | SCH0049 | SCH0053 | SCH0054,USE0025,EVD0500 | EVD0655 | EVD0912 | EVD0913 | EVD1901 | EVD1902 | EVD1903 | EVD1904 | EVD1905 | EVD1906
DS-P14188-PRIVATE-RELAY-WF-2022,Private Relay website-fingerprinting corpus,self_collected,,"Private Relay traces for 100 monitored Alexa-ranked sites, retained at 200 instances per site, plus one trace each from 20,000 additional unmonitored sites.",Retained as a separately named or independently provenanced traffic corpus.,DBLP:conf/asiaccs/ZohaibSH23,Ali Zohaib; Jade Sheffey; Amir Houmansadr. 2023. Investigating Traffic Analysis Attacks on Apple iCloud Private Relay. AsiaCCS.,10.1145/3579856.3595793,https://traces.cs.umass.edu/index.php/Network/Network,high,P14188,SCH0056 | SCH0058,USE0028,EVD0586 | EVD0914 | EVD0915 | EVD0916 | EVD1907 | EVD1909
DS-P14255-CAPSULEFORMER-DAPP-2022,CapsuleFormer DApp traffic corpus,self_collected,2022,"Chrome/tcpdump collection over approximately two weeks in April 2022; ten categories, five DApps per category on Ethereum and BNB, each DApp visited 1,000 times.",Retained as a separately named or independently provenanced traffic corpus.,DBLP:conf/asiaccs/ZhouXLZHLZ24,Xiang Zhou; Xi Xiao; Qing Li; Bin Zhang; Guangwu Hu; Xiapu Luo; Tianwei Zhang. 2024. CapsuleFormer: A Capsule and Transformer combined model for Decentralized Application encrypted traffic classification. AsiaCCS.,10.1145/3634737.3637664,https://github.com/Jsontorch/CapsuleFormer,high,P14255,SCH0059,USE0030,EVD0593 | EVD0917 | EVD0918 | EVD0919 | EVD1911
DS-P14374-WHISPERVOICETRACE,WhisperVoiceTrace corpus,self_collected,2023,WhisperVoiceTrace corpus contains 2 retained traffic components.,Alexa and Google Assistant are device/service components in one coordinated voice-command corpus.,DBLP:conf/asiaccs/KimJHKMO24,Hyojin Kim; Minji Jo; Jiwoo Hong; Hosung Kang; Nate Mathews; Se Eun Oh. 2024. WhisperVoiceTrace: A Comprehensive Analysis of Voice Command Fingerprinting. AsiaCCS.,10.1145/3634737.3657017,https://github.com/AISec-VoiceFingerprinting/WhisperVoiceTrace-A-Comprehensive-Analysis-of-Voice-Command-Fingerprinting,high,P14374,SCH0060 | SCH0061 | SCH0062 | SCH0064 | SCH0065 | SCH0066 | SCH0067 | SCH0068 | SCH0069 | SCH0071 | SCH0072,USE0033,EVD0616 | EVD0670 | EVD0920 | EVD0921 | EVD0922 | EVD0923 | EVD0924 | EVD0925 | EVD0926 | EVD0927 | EVD1912 | EVD1913 | EVD1916 | EVD1917 | EVD1918 | EVD1919 | EVD1920 | EVD1921 | EVD1922 | EVD1923 | EVD1924 | EVD1925 | EVD1926 | EVD1927
DS-P14413-DKF,DKF keyword-fingerprinting corpus,self_collected,2023 | 2024 | 2025,DKF keyword-fingerprinting corpus contains 3 retained traffic components.,"Bingbase, DDGbase, and DDGdrift are search-engine and temporal components of the coordinated DKF collection.",DBLP:conf/asiaccs/HwangJHKMKO25,Chaiwon Hwang; Haeseung Jeon; Jiwoo Hong; Hosung Kang; Nate Mathews; Goun Kim; Se Eun Oh. 2025. Enhancing Search Privacy on Tor: Advanced Deep Keyword Fingerprinting Attacks and BurstGuard Defense. AsiaCCS.,10.1145/3708821.3733914,https://github.com/AISec-EWHA/deep-keyword-fingerprinting,high,P14413,SCH0073 | SCH0074 | SCH0075,USE0034,EVD0512 | EVD0543 | EVD0561 | EVD0637 | EVD0928 | EVD0929 | EVD0930 | EVD0931 | EVD0932 | EVD1928 | EVD1929 | EVD1930 | EVD1931
DS-P14441-ZOOBAZAAR2024,OMAD5G ZooBazzar 2024 corpus,paper_self_collected,2024,Paper-local benign and malware Android application executions collected with Android Emulator 31.1.4.0.,Independent paper-local collection with capture provenance distinct from CIC-AndMal2017.,yan2025omad5g,Guanhua Yan and Zhixin Wen. 2025. OMAD5G: Online Malware Detection in 5G Networks using Compound Paths.,10.1145/3708821.3733864,https://doi.org/10.1145/3708821.3733864,high,P14441,SCH0077,USE0036,EVD1701 | EVD1702 | EVD1703 | EVD1704
DS-P14955-TOR-MALWARE-INITIAL-2021,Tor malware initial campaign,paper_self_collected,2021-06 to 2021-09,Tor traffic generated by 362 active malware binaries in the initial campaign.,Retained separately from the later zero-day recollection because it contains independently collected binaries and traffic.,alrawi2022rat,Omar Alrawi et al. 2022. Exposing the Rat in the Tunnel: Using Traffic Analysis for Tor-based Malware Detection.,10.1145/3548606.3560604,https://doi.org/10.1145/3548606.3560604,high,P14955,SCH0088,USE0044,EVD1705 | EVD1706 | EVD1707 | EVD1708 | EVD1709
DS-P14955-TOR-MALWARE-ZERODAY-2021,Tor malware zero-day campaign,paper_self_collected,2021-12,Fresh December 2021 malware and benign Tor captures used only as the later zero-day target.,Independent recollection with new malware binaries and parent captures.,alrawi2022rat,Omar Alrawi et al. 2022. Exposing the Rat in the Tunnel: Using Traffic Analysis for Tor-based Malware Detection.,10.1145/3548606.3560604,https://doi.org/10.1145/3548606.3560604,high,P14955,SCH0090,USE0043,EVD1708
DS-P15385-REALISTIC-WF-DRIFT-2023,Realistic Website Fingerprinting Drift dataset,self_collected,,"Fresh Tor capture over three months using Ubuntu virtual machines and Tor Browser 11.0.10; up to 550 traces for each of 225 non-onion websites, collected more than five years after AWF.",Retained as a separately named or independently provenanced traffic corpus.,DBLP:conf/ccs/BahramaliBH23,Alireza Bahramali; Ardavan Bozorgi; Amir Houmansadr. 2023. Realistic Website Fingerprinting By Augmenting Network Traces. ACM CCS.,10.1145/3576915.3616639,https://github.com/SPIN-UMass/Realistic-Website-Fingerprinting-By-Augmenting-Network-Traces,high,P15385,SCH0091 | SCH0095,USE0047,EVD0726 | EVD0933 | EVD0934 | EVD0935 | EVD0936 | EVD1951 | EVD1952 | EVD1953 | EVD1955 | EVD1956
DS-P15558-INSTITUTIONAL-2024,Exosphere institutional deployment corpus,paper_self_collected,2024,Three-day traffic capture from an institutional deployment.,Independent operational capture used as a target for a HyperVision-trained model.,shen2024exosphere,Meng Shen et al. 2024. Detecting Tunneled Flooding Traffic via Deep Semantic Analysis of Packet Length Patterns.,10.1145/3658644.3670353,https://doi.org/10.1145/3658644.3670353,high,P15558,SCH0099,USE0050,EVD1713
DS-P15762-STDA-DARKWEB,STDA dark-web corpus,self_collected,2023 | 2024,STDA dark-web corpus contains 2 retained traffic components.,August 2023 and April 2024 are temporal waves of the same dark-web collection lineage.,DBLP:conf/ccs/Deng0024,Xinhao Deng; Qi Li; Ke Xu. 2024. Robust and Reliable Early-Stage Website Fingerprinting Attacks via Spatial-Temporal Distribution Analysis. ACM CCS.,10.1145/3658644.3670272,https://doi.org/10.1145/3658644.3670272,high,P15762,SCH0109,USE0056,EVD0527 | EVD0609 | EVD0937 | EVD0938 | EVD0939 | EVD1958
DS-P16004-CSP,FlowSentry private cloud service provider corpus,paper_self_collected,not disclosed,Private cloud provider flow records covering 100 AS domains with DDoS command and control labels derived from nationwide honeypots.,One provider and honeypot-labeled corpus evaluated as a separate deployment.,p16004,FlowSentry: Accelerating NetFlow-based DDoS Detection.,10.1145/3719027.3744800,https://doi.org/10.1145/3719027.3744800,high,P16004,SCH0113,USE0060,EVD1638 | EVD1715
DS-P16004-TIER1-ISP,FlowSentry private Tier-1 ISP NetFlow corpus,paper_self_collected,not disclosed,Private Tier-1 ISP NetFlow from 100 selected routers with provider-supplied DDoS labels.,One operator-provided corpus evaluated as a separate deployment.,p16004,FlowSentry: Accelerating NetFlow-based DDoS Detection.,10.1145/3719027.3744800,https://doi.org/10.1145/3719027.3744800,high,P16004,SCH0112,USE0061,EVD1637 | EVD1717
DS-P16192-360COMPANY22,ScannerGrouper 360 Company-22,external_reused,2022-10,Service probes captured by five 360 Company honeypots in October 2022.,Separately named annual enterprise capture.,,,,,high,P16192,SCH0121,USE0072,EVD1723 | EVD1724 | EVD1725 | EVD1726 | EVD1728
DS-P16192-360COMPANY23,ScannerGrouper 360 Company-23,external_reused,2023-10,Service probes captured by five 360 Company honeypots in October 2023.,Separately named annual enterprise capture with independent parent traffic.,,,,,high,P16192,SCH0122,USE0068,EVD1723 | EVD1724 | EVD1725 | EVD1726 | EVD1728
DS-P16192-SELFDEPLOY24,ScannerGrouper SelfDeploy-24,paper_self_collected,2024-02-01 to 2024-04-30,Service probes captured by five paper-deployed honeypots on five continents.,Named campaign in the coordinated ScannerGrouper release with independent capture dates.,,,,,high,P16192,SCH0123,USE0070,EVD1723 | EVD1724 | EVD1725 | EVD1726 | EVD1728
DS-P16192-SELFDEPLOY25,ScannerGrouper SelfDeploy-25,paper_self_collected,2024-12-10 to 2025-03-17,Service probes captured by five paper-deployed honeypots on five continents.,Named campaign with parent captures independent of SelfDeploy-24 and SelfDeploy-25-S.,,,,,high,P16192,SCH0124,USE0069,EVD1723 | EVD1724 | EVD1725 | EVD1726 | EVD1728
DS-P16192-SELFDEPLOY25S,ScannerGrouper SelfDeploy-25-S,paper_self_collected,2025-03-18 to 2025-06-30,Service probes captured by five paper-deployed honeypots on five continents.,Named later campaign with independent parent captures.,,,,,high,P16192,SCH0125,USE0067,EVD1723 | EVD1724 | EVD1725 | EVD1726 | EVD1728
DS-P16192-WEBRAY,ScannerGrouper WebRAY,external_reused,2023-10-01 to 2023-10-26,Service probes captured by two WebRAY honeypots.,Separately named enterprise honeypot corpus with independent provenance.,,,,,high,P16192,SCH0126,USE0071,EVD1723 | EVD1724 | EVD1725 | EVD1726 | EVD1728
DS-P16208-SISTAR-IPERF-HPING3,SISTAR iperf and hping3 Spine-Leaf deployment corpus,self_collected,,"Traffic generated in the paper's miniature Spine-Leaf topology with iperf normal workloads and hping3 SYN, UDP, and ICMP flood attacks.","The Section 6.5 paper-generated simulated stream is one parent deployment corpus, distinct from the replayed public-dataset evaluation.",han2025sistar_self_generated,Yinglong Han et al. 2025. SISTAR: An Efficient DDoS Detection and Mitigation Framework Utilizing Programmable Data Planes. ACM CCS.,10.1145/3719027.3765046,https://doi.org/10.1145/3719027.3765046,high,P16208,SCH0132,USE0075,EVD1735 | EVD1736
DS-P16217-SWALLOW,Swallow D1-D8 corpus,self_collected,2024,Swallow D1-D8 corpus contains 8 retained traffic components.,"D1-D8 encode location, date, browser, and open-world conditions within the Swallow release.",DBLP:conf/ccs/0001WALR0Z25,Meng Shen; Jinhe Wu; Junyu Ai; Qi Li; Chenchen Ren; Ke Xu; Liehuang Zhu. 2025. Swallow: A Transfer-Robust Website Fingerprinting Attack via Consistent Feature Learning. ACM CCS.,10.1145/3719027.3744795,https://github.com/wujinhe0814/Swallow,high,P16217,SCH0136,USE0081,EVD0464 | EVD0501 | EVD0565 | EVD0580 | EVD0632 | EVD0647 | EVD0701 | EVD0709 | EVD0940 | EVD0941 | EVD0942 | EVD0943 | EVD1959 | EVD1960 | EVD1961
DS-P16247-APPLICATION-ALL-2024,Application-ALL fresh recapture,fresh_recapture,,New traffic capture generated by replaying/transforming Application-Host applications under multiple dynamic conditions.,Retained as a separately named or independently provenanced traffic corpus.,DBLP:conf/ccs/QingYD0LL00025,Yuqi Qing; Qilei Yin; Xinhao Deng; Xiaoli Zhang; Peiyang Li; Zhuotao Liu; Kun Sun; Ke Xu; Qi Li. 2025. Training Robust Classifiers for Classifying Encrypted Traffic under Dynamic Network Conditions. ACM CCS.,10.1145/3719027.3765073,https://github.com/XXnormal/MAML-Training-ETC,medium,P16247,SCH0139,USE0085,EVD0488 | EVD0944 | EVD0945 | EVD0946 | EVD0947 | EVD1967 | EVD1969 | EVD1971 | EVD1973 | EVD1975
DS-P16247-DOHBRW-ALL-2024,DoHBrw-ALL fresh recapture,fresh_recapture,,New capture constructed from the DoH browser workload under multiple network/obfuscation conditions.,Retained as a separately named or independently provenanced traffic corpus.,DBLP:conf/ccs/QingYD0LL00025,Yuqi Qing; Qilei Yin; Xinhao Deng; Xiaoli Zhang; Peiyang Li; Zhuotao Liu; Kun Sun; Ke Xu; Qi Li. 2025. Training Robust Classifiers for Classifying Encrypted Traffic under Dynamic Network Conditions. ACM CCS.,10.1145/3719027.3765073,https://github.com/XXnormal/MAML-Training-ETC,medium,P16247,SCH0141 | SCH0453,USE0283,EVD0793 | EVD0948 | EVD0949 | EVD0950 | EVD1970 | EVD1974 | EVD1976 | EVD2280 | EVD2281 | EVD2282 | EVD2283 | EVD2284 | EVD2285 | EVD2292 | EVD2293 | EVD2294 | EVD2295 | EVD2296 | EVD2297
DS-P16247-TOR-ALL-2024,Tor-ALL June-August 2024 capture,self_collected,2024,Fresh real Tor traffic collected from June through August 2024 under multiple conditions.,Retained as a separately named or independently provenanced traffic corpus.,DBLP:conf/ccs/QingYD0LL00025,Yuqi Qing; Qilei Yin; Xinhao Deng; Xiaoli Zhang; Peiyang Li; Zhuotao Liu; Kun Sun; Ke Xu; Qi Li. 2025. Training Robust Classifiers for Classifying Encrypted Traffic under Dynamic Network Conditions. ACM CCS.,10.1145/3719027.3765073,https://github.com/XXnormal/MAML-Training-ETC,high,P16247,SCH0140,USE0083,EVD0603 | EVD0951 | EVD0952 | EVD0953 | EVD0954 | EVD1977
DS-P16354-DARKVEC-UNIVERSITY-DARKNET-2021,DarkVec university /24 darknet corpus,self_collected,2021,Traffic to an unused university /24 darknet collected 2-31 March 2021; the last day is held out for testing.,Retained as a separately named or independently provenanced traffic corpus.,DBLP:conf/conext/GioacchiniVMDBR21,Luca Gioacchini; Luca Vassio; Marco Mellia; Idilio Drago; Zied Ben-Houidi; Dario Rossi. 2021. DarkVec: automatic analysis of darknet traffic with word embeddings. CoNEXT.,10.1145/3485983.3494863,https://github.com/SmartData-Polito/darkvec,high,P16354,SCH0159,USE0098,EVD0533 | EVD0673 | EVD0955 | EVD0956 | EVD0957 | EVD1978
DS-P16398-FIAT-TESTBED,FIAT IoT testbed corpus,paper_self_collected,2022 or earlier,Coordinated IoT event corpus collected at New Jersey and Illinois with additional VPN locations for three devices.,All sites and device configurations form one coordinated paper corpus with a shared three-class labeling procedure.,xiao2022fiat,Yunming Xiao and Matteo Varvello. 2022. FIAT: Frictionless Authentication of IoT Traffic.,10.1145/3555050.3569126,https://doi.org/10.1145/3555050.3569126,high,P16398,SCH0160,USE0099,EVD1742 | EVD1743 | EVD1744 | EVD1745
