rq1_scheme_decision_id,scheme_id,paper_id,dataset_id,dimension,outcome,condition_pair,complete_class_count,common_pair_class_count,complete_scheme_verified,stable_semantics_verified,condition_membership_recoverable,fresh_parent_traffic_both_values,evidence_ids,decision_basis,confidence
R1S0352,SCH0135,P16217,DS-WANG-WF-2014,client,not_documented,,95,,yes,unknown,unknown,unknown,EVD1134,"Hardware, OS, Tor Browser/version, and class-to-client mappings are not documented in the release index.",low
R1S0353,SCH0135,P16217,DS-WANG-WF-2014,network,not_documented,,95,,yes,unknown,unknown,unknown,EVD1134,"Tor circuits may vary across traces, but circuit/path identities and a common class-addressable network contrast are not documented.",low
R1S0354,SCH0135,P16217,DS-WANG-WF-2014,temporal,not_documented,,95,,yes,unknown,unknown,unknown,EVD1134,The release lacks an auditable class-to-date/campaign manifest.,low
R1S0355,SCH0136,P16217,DS-P16217-SWALLOW,client,supported,D1 vs D7,100,100,yes,yes,yes,yes,EVD0940,"All sites span both browsers, but browser and Tor integration change together.",high
R1S0356,SCH0136,P16217,DS-P16217-SWALLOW,network,documented_no_support,,100,0,yes,yes,yes,unknown,EVD0941,The documented contrast changes only Tor guards and does not establish two qualifying physical network values.,high
R1S0357,SCH0136,P16217,DS-P16217-SWALLOW,temporal,supported,D1 vs D6,100,100,yes,yes,yes,yes,EVD0943,"D1/D6 hold location/browser constant and recollect all sites; month precision makes three months possible, not confirmed.",high
R1S0358,SCH0137,P16217,DS-DF-2017,client,documented_no_support,,95,0,yes,unknown,unknown,unknown,EVD0897,"The paper documents replicated machines, not distinct hardware/OS/browser configurations.",high
R1S0359,SCH0137,P16217,DS-DF-2017,network,documented_no_support,,95,0,yes,yes,yes,unknown,EVD1202,The documented contrast changes only Tor routes or circuits and does not establish two qualifying physical network values.,high
R1S0360,SCH0137,P16217,DS-DF-2017,temporal,supported,early versus late round-robin chunk,95,95,yes,yes,yes,yes,EVD1161,"All 95 sites have time-ordered capture chunks, but the collection lasted days and does not meet the three-month threshold.",high
R1S0361,SCH0138,P16217,DS-WANG-WF-2014,client,not_documented,,95,,yes,unknown,unknown,unknown,EVD1134,"Hardware, OS, Tor Browser/version, and class-to-client mappings are not documented in the release index.",low
R1S0362,SCH0138,P16217,DS-WANG-WF-2014,network,not_documented,,95,,yes,unknown,unknown,unknown,EVD1134,"Tor circuits may vary across traces, but circuit/path identities and a common class-addressable network contrast are not documented.",low
R1S0363,SCH0138,P16217,DS-WANG-WF-2014,temporal,not_documented,,95,,yes,unknown,unknown,unknown,EVD1134,The release lacks an auditable class-to-date/campaign manifest.,low
R1S0364,SCH0139,P16247,DS-P16247-APPLICATION-ALL-2024,client,supported,Android 7 source-host group | Android 8 source-host group,3,3,yes,yes,yes,yes,EVD0944,"Android major-version groups are qualifying client configurations, and the repository's version-specific Application-ALL files contain every application label under both selected versions.",high
R1S0365,SCH0139,P16247,DS-P16247-APPLICATION-ALL-2024,network,supported,Japan and United States cloud-server sites | Japan and United Kingdom cloud-server sites,3,3,yes,yes,yes,yes,EVD0945,Application-ALL was recaptured between documented cloud sites in four countries. Repository files separated by site pair contain every application label under both selected pairs.,high
R1S0366,SCH0139,P16247,DS-P16247-APPLICATION-ALL-2024,temporal,documented_no_support,,3,,yes,unknown,unknown,unknown,EVD0947,Replay supplies no fresh temporal level.,high
R1S0367,SCH0140,P16247,DS-P16247-TOR-ALL-2024,client,supported,13.0.10 vs 13.5,100,100,yes,yes,yes,yes,EVD0951,"Both versions visit the common 100 sites, but version/host/country/time are not shown fully crossed.",medium
R1S0368,SCH0140,P16247,DS-P16247-TOR-ALL-2024,network,supported,any two countries,100,100,yes,yes,yes,yes,EVD0952,Four clients per country visit the common sites; host and path vary together.,high
R1S0369,SCH0140,P16247,DS-P16247-TOR-ALL-2024,temporal,not_documented,,100,,yes,unknown,unknown,unknown,EVD0954,Per-site time-bin membership is not reported.,medium
R1S0370,SCH0141,P16247,DS-P16247-DOHBRW-ALL-2024,client,documented_no_support,unchanged replay client | unchanged replay client,4,,yes,unknown,unknown,unknown,EVD1970 | EVD1974 | EVD1976,"The documented group names are remote DNS services or replay paths. They do not change the client hardware, OS, application, library, or execution environment.",high
R1S0371,SCH0141,P16247,DS-P16247-DOHBRW-ALL-2024,network,supported,JP-US cloud-site pair versus JP-UK cloud-site pair,4,4,yes,yes,yes,yes,EVD0948,The complete scheme was freshly replayed across distinct physical cloud-site pairs. Resolver identity is not used as the qualifying network contrast.,high
R1S0372,SCH0141,P16247,DS-P16247-DOHBRW-ALL-2024,temporal,documented_no_support,,4,,yes,unknown,unknown,unknown,EVD0950,No fresh temporal levels are reported for this replayed version.,high
R1S0373,SCH0142,P16247,DS-NUDT-MOBILETRAFFIC-2020,client,not_documented,,3,,yes,unknown,unknown,unknown,EVD0906,"177 hosts and five OS levels are reported, but not whether every app occurs in two configurations.",medium
R1S0374,SCH0142,P16247,DS-NUDT-MOBILETRAFFIC-2020,network,not_documented,,3,,yes,unknown,unknown,unknown,EVD1964,The available sources do not document class-to-condition membership well enough to establish dataset-level feasibility.,low
R1S0375,SCH0142,P16247,DS-NUDT-MOBILETRAFFIC-2020,temporal,not_documented,,3,,yes,unknown,unknown,unknown,EVD0908,Overall months are known but application-to-date membership is not.,medium
R1S0376,SCH0143,P16247,DS-DF-2017,client,documented_no_support,,95,0,yes,unknown,unknown,unknown,EVD0897,"The paper documents replicated machines, not distinct hardware/OS/browser configurations.",high
R1S0377,SCH0143,P16247,DS-DF-2017,network,documented_no_support,,95,0,yes,yes,yes,unknown,EVD1202,The documented contrast changes only Tor routes or circuits and does not establish two qualifying physical network values.,high
R1S0378,SCH0143,P16247,DS-DF-2017,temporal,supported,early versus late round-robin chunk,95,95,yes,yes,yes,yes,EVD1161,"All 95 sites have time-ordered capture chunks, but the collection lasted days and does not meet the three-month threshold.",high
R1S0379,SCH0144,P16248,DS-CIC-ANDMAL-2017,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0380,SCH0144,P16248,DS-CIC-ANDMAL-2017,network,documented_no_support,,2,,yes,yes,yes,no,EVD1741 | EVD1738 | EVD1739 | EVD1740,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0381,SCH0144,P16248,DS-CIC-ANDMAL-2017,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0382,SCH0145,P16248,DS-CIC-IDS-2017,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0383,SCH0145,P16248,DS-CIC-IDS-2017,network,documented_no_support,,2,,yes,yes,yes,no,EVD1741 | EVD1738 | EVD1739 | EVD1740,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0384,SCH0145,P16248,DS-CIC-IDS-2017,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0385,SCH0146,P16248,DS-CSE-CIC-IDS-2018,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0386,SCH0146,P16248,DS-CSE-CIC-IDS-2018,network,documented_no_support,,2,,yes,yes,yes,no,EVD1741 | EVD1738 | EVD1739 | EVD1740,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0387,SCH0146,P16248,DS-CSE-CIC-IDS-2018,temporal,supported,first CSE-CIC-IDS2018 collection day T1 | remaining collection days T2,2,2,yes,yes,yes,yes,EVD1741 | EVD1738 | EVD1739 | EVD1740,Table I gives both normal and malicious encrypted-flow counts in T1 and T2. The dated files preserve membership and the evaluated binary semantics are stable.,high
R1S0388,SCH0147,P16248,DS-CTU-13,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0389,SCH0147,P16248,DS-CTU-13,network,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable network values.,medium
R1S0390,SCH0147,P16248,DS-CTU-13,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0391,SCH0148,P16248,DS-CIC-DDOS-2019,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0392,SCH0148,P16248,DS-CIC-DDOS-2019,network,documented_no_support,,2,,yes,yes,yes,no,EVD1741 | EVD1738 | EVD1739 | EVD1740,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0393,SCH0148,P16248,DS-CIC-DDOS-2019,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0394,SCH0149,P16248,DS-CIRA-CIC-DOHBRW-2020,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0395,SCH0149,P16248,DS-CIRA-CIC-DOHBRW-2020,network,documented_no_support,,2,,yes,yes,yes,no,EVD1741 | EVD1738 | EVD1739 | EVD1740,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0396,SCH0149,P16248,DS-CIRA-CIC-DOHBRW-2020,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0397,SCH0150,P16248,DS-HYPERVISION,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0398,SCH0150,P16248,DS-HYPERVISION,network,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable network values.,medium
R1S0399,SCH0150,P16248,DS-HYPERVISION,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0400,SCH0151,P16248,DS-HYPERVISION,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0401,SCH0151,P16248,DS-HYPERVISION,network,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable network values.,medium
R1S0402,SCH0151,P16248,DS-HYPERVISION,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0403,SCH0152,P16248,DS-HYPERVISION,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0404,SCH0152,P16248,DS-HYPERVISION,network,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable network values.,medium
R1S0405,SCH0152,P16248,DS-HYPERVISION,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0406,SCH0153,P16248,DS-HYPERVISION,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0407,SCH0153,P16248,DS-HYPERVISION,network,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable network values.,medium
R1S0408,SCH0153,P16248,DS-HYPERVISION,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0409,SCH0154,P16248,DS-HYPERVISION,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0410,SCH0154,P16248,DS-HYPERVISION,network,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable network values.,medium
R1S0411,SCH0154,P16248,DS-HYPERVISION,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0412,SCH0155,P16248,DS-CIC-IOT-2023,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0413,SCH0155,P16248,DS-CIC-IOT-2023,network,documented_no_support,,2,,yes,yes,yes,no,EVD1741 | EVD1738 | EVD1739 | EVD1740,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0414,SCH0155,P16248,DS-CIC-IOT-2023,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0415,SCH0156,P16248,DS-KITSUNE-SSDP-FLOOD,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0416,SCH0156,P16248,DS-KITSUNE-SSDP-FLOOD,network,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable network values.,medium
R1S0417,SCH0156,P16248,DS-KITSUNE-SSDP-FLOOD,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0418,SCH0157,P16248,DS-NETBEACON-TRAFFIC,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0419,SCH0157,P16248,DS-NETBEACON-TRAFFIC,network,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable network values.,medium
R1S0420,SCH0157,P16248,DS-NETBEACON-TRAFFIC,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0421,SCH0158,P16248,DS-WHISPER-MALICIOUS-TRAFFIC,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0422,SCH0158,P16248,DS-WHISPER-MALICIOUS-TRAFFIC,network,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable network values.,medium
R1S0423,SCH0158,P16248,DS-WHISPER-MALICIOUS-TRAFFIC,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1741 | EVD1738 | EVD1739 | EVD1740,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0424,SCH0159,P16354,DS-P16354-DARKVEC-UNIVERSITY-DARKNET-2021,client,not_documented,,10,,yes,unknown,unknown,unknown,EVD1978,Class-to-condition evidence is insufficient for a feasibility conclusion.,low
R1S0425,SCH0159,P16354,DS-P16354-DARKVEC-UNIVERSITY-DARKNET-2021,network,documented_no_support,,10,,yes,unknown,unknown,unknown,EVD0955,One telescope is used.,high
R1S0426,SCH0159,P16354,DS-P16354-DARKVEC-UNIVERSITY-DARKNET-2021,temporal,not_documented,,10,,yes,unknown,unknown,unknown,EVD0957,Labels use last-day active senders; complete early/late class overlap is not reported.,medium
R1S0427,SCH0160,P16398,DS-P16398-FIAT-TESTBED,client,supported,Echo Dot 4 versus Home Mini,3,3,yes,yes,yes,yes,EVD1742 | EVD1745,"Control, automated, and manual event labels are collected for multiple identified device configurations.",high
R1S0428,SCH0160,P16398,DS-P16398-FIAT-TESTBED,network,supported,US versus Japan,3,3,yes,yes,yes,yes,EVD1742 | EVD1744,The same three event labels are available for each qualifying device in US and Japan network locations.,high
R1S0429,SCH0160,P16398,DS-P16398-FIAT-TESTBED,temporal,not_documented,,3,,yes,yes,unknown,unknown,EVD1745 | EVD1742 | EVD1743 | EVD1744,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0430,SCH0161,P16406,DS-CIC-IDS-2017,client,not_documented,,2,,yes,unknown,unknown,unknown,EVD1748,Client identities or platforms are not mapped to complete label coverage for this trace component.,high
R1S0431,SCH0161,P16406,DS-CIC-IDS-2017,network,not_documented,,2,,yes,unknown,unknown,unknown,EVD1748,The component does not document complete label coverage under two recoverable network conditions.,high
R1S0432,SCH0161,P16406,DS-CIC-IDS-2017,temporal,documented_no_support,CIC-IDS2017 Tuesday,2,0,yes,yes,yes,no,EVD1748,"This explicit scheme is confined to one day or scenario trace, so it does not contain two documented temporal values.",high
R1S0433,SCH0162,P16406,DS-CIC-IDS-2017,client,not_documented,,2,,yes,unknown,unknown,unknown,EVD1748,Client identities or platforms are not mapped to complete label coverage for this trace component.,high
R1S0434,SCH0162,P16406,DS-CIC-IDS-2017,network,not_documented,,2,,yes,unknown,unknown,unknown,EVD1748,The component does not document complete label coverage under two recoverable network conditions.,high
R1S0435,SCH0162,P16406,DS-CIC-IDS-2017,temporal,documented_no_support,CIC-IDS2017 Wednesday,2,0,yes,yes,yes,no,EVD1748,"This explicit scheme is confined to one day or scenario trace, so it does not contain two documented temporal values.",high
R1S0436,SCH0163,P16406,DS-CIC-IDS-2017,client,not_documented,,2,,yes,unknown,unknown,unknown,EVD1748,Client identities or platforms are not mapped to complete label coverage for this trace component.,high
R1S0437,SCH0163,P16406,DS-CIC-IDS-2017,network,not_documented,,2,,yes,unknown,unknown,unknown,EVD1748,The component does not document complete label coverage under two recoverable network conditions.,high
R1S0438,SCH0163,P16406,DS-CIC-IDS-2017,temporal,documented_no_support,CIC-IDS2017 Thursday,2,0,yes,yes,yes,no,EVD1748,"This explicit scheme is confined to one day or scenario trace, so it does not contain two documented temporal values.",high
R1S0439,SCH0164,P16406,DS-CIC-DDOS-2019,client,not_documented,,2,,yes,unknown,unknown,unknown,EVD1747,Client identities or platforms are not mapped to complete label coverage for this trace component.,high
R1S0440,SCH0164,P16406,DS-CIC-DDOS-2019,network,not_documented,,2,,yes,unknown,unknown,unknown,EVD1747,The component does not document complete label coverage under two recoverable network conditions.,high
R1S0441,SCH0164,P16406,DS-CIC-DDOS-2019,temporal,documented_no_support,CIC-DDoS2019 January 11,2,0,yes,yes,yes,no,EVD1747,"This explicit scheme is confined to one day or scenario trace, so it does not contain two documented temporal values.",high
R1S0442,SCH0165,P16406,DS-CTU-13,client,not_documented,,2,,yes,unknown,unknown,unknown,EVD1749,Client identities or platforms are not mapped to complete label coverage for this trace component.,high
R1S0443,SCH0165,P16406,DS-CTU-13,network,not_documented,,2,,yes,unknown,unknown,unknown,EVD1749,The component does not document complete label coverage under two recoverable network conditions.,high
R1S0444,SCH0165,P16406,DS-CTU-13,temporal,documented_no_support,CTU scenario 1-1,2,0,yes,yes,yes,no,EVD1749,"This explicit scheme is confined to one day or scenario trace, so it does not contain two documented temporal values.",high
R1S0445,SCH0166,P16406,DS-CTU-13,client,not_documented,,2,,yes,unknown,unknown,unknown,EVD1749,Client identities or platforms are not mapped to complete label coverage for this trace component.,high
R1S0446,SCH0166,P16406,DS-CTU-13,network,not_documented,,2,,yes,unknown,unknown,unknown,EVD1749,The component does not document complete label coverage under two recoverable network conditions.,high
R1S0447,SCH0166,P16406,DS-CTU-13,temporal,documented_no_support,CTU scenario 20-1,2,0,yes,yes,yes,no,EVD1749,"This explicit scheme is confined to one day or scenario trace, so it does not contain two documented temporal values.",high
R1S0448,SCH0167,P16406,DS-CTU-13,client,not_documented,,2,,yes,unknown,unknown,unknown,EVD1749,Client identities or platforms are not mapped to complete label coverage for this trace component.,high
R1S0449,SCH0167,P16406,DS-CTU-13,network,not_documented,,2,,yes,unknown,unknown,unknown,EVD1749,The component does not document complete label coverage under two recoverable network conditions.,high
R1S0450,SCH0167,P16406,DS-CTU-13,temporal,documented_no_support,CTU scenario 3-1,2,0,yes,yes,yes,no,EVD1749,"This explicit scheme is confined to one day or scenario trace, so it does not contain two documented temporal values.",high
R1S0451,SCH0168,P16406,DS-CTU-13,client,not_documented,,2,,yes,unknown,unknown,unknown,EVD1749,Client identities or platforms are not mapped to complete label coverage for this trace component.,high
R1S0452,SCH0168,P16406,DS-CTU-13,network,not_documented,,2,,yes,unknown,unknown,unknown,EVD1749,The component does not document complete label coverage under two recoverable network conditions.,high
R1S0453,SCH0168,P16406,DS-CTU-13,temporal,documented_no_support,CTU scenario 7-1,2,0,yes,yes,yes,no,EVD1749,"This explicit scheme is confined to one day or scenario trace, so it does not contain two documented temporal values.",high
R1S0454,SCH0169,P16406,DS-CTU-13,client,not_documented,,2,,yes,unknown,unknown,unknown,EVD1749,Client identities or platforms are not mapped to complete label coverage for this trace component.,high
R1S0455,SCH0169,P16406,DS-CTU-13,network,not_documented,,2,,yes,unknown,unknown,unknown,EVD1749,The component does not document complete label coverage under two recoverable network conditions.,high
R1S0456,SCH0169,P16406,DS-CTU-13,temporal,documented_no_support,CTU scenario 34-1,2,0,yes,yes,yes,no,EVD1749,"This explicit scheme is confined to one day or scenario trace, so it does not contain two documented temporal values.",high
R1S0457,SCH0170,P16406,DS-CTU-13,client,not_documented,,2,,yes,unknown,unknown,unknown,EVD1749,Client identities or platforms are not mapped to complete label coverage for this trace component.,high
R1S0458,SCH0170,P16406,DS-CTU-13,network,not_documented,,2,,yes,unknown,unknown,unknown,EVD1749,The component does not document complete label coverage under two recoverable network conditions.,high
R1S0459,SCH0170,P16406,DS-CTU-13,temporal,documented_no_support,CTU scenario 8-1,2,0,yes,yes,yes,no,EVD1749,"This explicit scheme is confined to one day or scenario trace, so it does not contain two documented temporal values.",high
R1S0460,SCH0171,P16406,DS-IEEE-IOT-INTRUSION,client,not_documented,,2,,yes,unknown,unknown,unknown,EVD1750,Client identities or platforms are not mapped to complete label coverage for this trace component.,high
R1S0461,SCH0171,P16406,DS-IEEE-IOT-INTRUSION,network,not_documented,,2,,yes,unknown,unknown,unknown,EVD1750,The component does not document complete label coverage under two recoverable network conditions.,high
R1S0462,SCH0171,P16406,DS-IEEE-IOT-INTRUSION,temporal,documented_no_support,IEEE IoT packet trace,2,0,yes,yes,yes,no,EVD1750,"This explicit scheme is confined to one day or scenario trace, so it does not contain two documented temporal values.",high
R1S0463,SCH0172,P16406,DS-KITSUNE,client,not_documented,,2,,yes,unknown,unknown,unknown,EVD1751,Client identities or platforms are not mapped to complete label coverage for this trace component.,high
R1S0464,SCH0172,P16406,DS-KITSUNE,network,not_documented,,2,,yes,unknown,unknown,unknown,EVD1751,The component does not document complete label coverage under two recoverable network conditions.,high
R1S0465,SCH0172,P16406,DS-KITSUNE,temporal,documented_no_support,Kitsune packet trace,2,0,yes,yes,yes,no,EVD1751,"This explicit scheme is confined to one day or scenario trace, so it does not contain two documented temporal values.",high
R1S0466,SCH0173,P16406,DS-AWID3,client,not_documented,,2,,yes,unknown,unknown,unknown,EVD1746,Client identities or platforms are not mapped to complete label coverage for this trace component.,high
R1S0467,SCH0173,P16406,DS-AWID3,network,not_documented,,2,,yes,unknown,unknown,unknown,EVD1746,The component does not document complete label coverage under two recoverable network conditions.,high
R1S0468,SCH0173,P16406,DS-AWID3,temporal,documented_no_support,AWID3 packet trace,2,0,yes,yes,yes,no,EVD1746,"This explicit scheme is confined to one day or scenario trace, so it does not contain two documented temporal values.",high
R1S0469,SCH0174,P16418,DS-P16418-XATU-ISP-2019,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1756 | EVD1752,The available evidence does not map every complete label to two recoverable client values with fresh parent traffic.,medium
R1S0470,SCH0174,P16418,DS-P16418-XATU-ISP-2019,network,not_documented,,2,,yes,yes,unknown,unknown,EVD1756 | EVD1752,The available evidence does not map every complete label to two recoverable network values with fresh parent traffic.,medium
R1S0471,SCH0174,P16418,DS-P16418-XATU-ISP-2019,temporal,supported,"April 24 to June 12, 2019 | July 3 to August 1, 2019",2,2,yes,yes,yes,yes,EVD1753 | EVD1757 | EVD1752 | EVD1755,The attack-specific binary labels are evaluated in non-overlapping chronological periods. Balanced attack and non-attack training plus validation overhead and test false-positive evaluation establish both labels across the period pair. Distinct calendar windows contain fresh NetFlow observations.,high
R1S0472,SCH0175,P16418,DS-P16418-XATU-ISP-2019,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1756 | EVD1752,The available evidence does not map every complete label to two recoverable client values with fresh parent traffic.,medium
R1S0473,SCH0175,P16418,DS-P16418-XATU-ISP-2019,network,not_documented,,2,,yes,yes,unknown,unknown,EVD1756 | EVD1752,The available evidence does not map every complete label to two recoverable network values with fresh parent traffic.,medium
R1S0474,SCH0175,P16418,DS-P16418-XATU-ISP-2019,temporal,supported,"April 24 to June 12, 2019 | July 3 to August 1, 2019",2,2,yes,yes,yes,yes,EVD1753 | EVD1757 | EVD1752 | EVD1755,The attack-specific binary labels are evaluated in non-overlapping chronological periods. Balanced attack and non-attack training plus validation overhead and test false-positive evaluation establish both labels across the period pair. Distinct calendar windows contain fresh NetFlow observations.,high
R1S0475,SCH0176,P16418,DS-P16418-XATU-ISP-2019,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1756 | EVD1752,The available evidence does not map every complete label to two recoverable client values with fresh parent traffic.,medium
R1S0476,SCH0176,P16418,DS-P16418-XATU-ISP-2019,network,not_documented,,2,,yes,yes,unknown,unknown,EVD1756 | EVD1752,The available evidence does not map every complete label to two recoverable network values with fresh parent traffic.,medium
R1S0477,SCH0176,P16418,DS-P16418-XATU-ISP-2019,temporal,supported,"April 24 to June 12, 2019 | July 3 to August 1, 2019",2,2,yes,yes,yes,yes,EVD1753 | EVD1757 | EVD1752 | EVD1755,The attack-specific binary labels are evaluated in non-overlapping chronological periods. Balanced attack and non-attack training plus validation overhead and test false-positive evaluation establish both labels across the period pair. Distinct calendar windows contain fresh NetFlow observations.,high
R1S0478,SCH0177,P16418,DS-P16418-XATU-ISP-2019,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1756 | EVD1752,The available evidence does not map every complete label to two recoverable client values with fresh parent traffic.,medium
R1S0479,SCH0177,P16418,DS-P16418-XATU-ISP-2019,network,not_documented,,2,,yes,yes,unknown,unknown,EVD1756 | EVD1752,The available evidence does not map every complete label to two recoverable network values with fresh parent traffic.,medium
